Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Active Energy kcal","Total Energy kcal"
"Yoga","2019-01-18 16:30","2019-01-18 17:34","1:03:56",,"113.58","148.0",,,"501.5639999999979","652.772999999996"
"Yoga","2019-01-16 16:33","2019-01-16 17:34","1:01:15",,"114.57061340941512","147.0",,,"480.38499999999834","625.8709999999966"
"Yoga","2019-01-13 16:30","2019-01-13 17:35","1:05:16",,"111.27005347593582","140.0",,,"501.897999999998","644.946999999996"
"Yoga","2019-01-11 16:29","2019-01-11 17:34","1:05:00",,"117.86333771353482","152.0",,,"501.4219999999983","653.0419999999964"
"Yoga","2019-01-09 16:29","2019-01-09 17:35","1:06:13",,"112.6701030927835","147.0",,,"509.67799999999806","639.4339999999961"
"Yoga","2019-01-06 16:30","2019-01-06 17:31","1:00:50",,"115.39883551673945","146.0",,,"459.4999999999973","598.5189999999956"
"Running","2019-01-05 13:09","2019-01-05 13:22","0:12:15","1.8177681836537085","132.51020408163265","158.0","0:06:44","8.895292982758138","158.77300000000068","183.3860000000006"
"Yoga","2019-01-03 19:30","2019-01-03 20:33","1:03:16",,"117.16334661354581","162.0",,,"486.11599999999885","634.0449999999969"
"Yoga","2019-01-02 16:33","2019-01-02 17:34","1:01:02",,"120.0365682137834","152.0",,,"492.9339999999971","635.1679999999953"
"Yoga","2018-12-31 12:02","2018-12-31 13:03","1:01:30",,"123.56111111111112","153.0",,,"504.4669999999989","652.2589999999972"
"Running","2018-12-30 09:58","2018-12-30 10:09","0:09:53","1.6988830496974987","130.70229007633588","161.0","0:05:49","10.298391772285004","135.13100000000006","166.659"
"Running","2018-12-28 14:01","2018-12-28 14:12","0:10:50","1.977716385331005","141.28571428571428","157.0","0:05:28","10.94774029441392","158.934","208.74099999999999"
"Running","2018-12-25 15:19","2018-12-25 16:18","0:59:07","3.4054981745729456","132.91591591591592","150.0","0:17:21","3.4563546710181785","334.8340000000031","478.4040000000055"
"Running","2018-12-24 11:38","2018-12-24 11:47","0:08:32","1.655459394829038","147.83333333333334","152.0","0:05:09","11.63428120086975","131.6990000000002","173.0400000000002"
"Yoga","2018-12-20 18:02","2018-12-20 19:15","1:13:27",,"127.20997679814386","159.0",,,"584.1580000000055","754.9270000000032"
"Yoga","2018-12-18 19:32","2018-12-18 20:33","1:01:24",,"112.78502080443828","150.0",,,"482.3719999999983","627.5439999999965"
"Running","2018-12-14 17:24","2018-12-14 17:29","0:04:31","0.7784599362750305","136.6851851851852","154.0","0:05:48","10.336372943441884","61.58099999999999","93.99399999999997"
"Yoga","2018-12-09 16:30","2018-12-09 17:30","0:59:21",,"119.65811965811966","153.0",,,"468.92499999999734","612.7509999999957"
"Running","2018-12-08 14:27","2018-12-08 14:34","0:06:52","1.3202447473427747","137.46753246753246","149.0","0:05:12","11.512428502914064","103.3870000000001","140.59800000000007"
"Yoga","2018-12-07 16:29","2018-12-07 17:34","1:04:47",,"117.69621903520209","151.0",,,"525.7049999999989","679.551999999997"
"Yoga","2018-12-05 16:32","2018-12-05 17:32","1:00:19",,"115.79007092198582","149.0",,,"483.69099999999867","628.6609999999969"
"Yoga","2018-12-03 18:03","2018-12-03 19:04","1:00:40",,"119.4389901823282","155.0",,,"488.8759999999986","633.4069999999969"
"Yoga","2018-12-01 13:30","2018-12-01 14:31","1:00:24",,"117.43919885550787","153.0",,,"476.05799999999726","620.6489999999956"
"Yoga","2018-11-30 16:30","2018-11-30 17:31","1:00:48",,"121.69390581717451","157.0",,,"493.1289999999979","638.7139999999962"
"Yoga","2018-11-28 16:33","2018-11-28 17:38","1:04:49",,"114.33421052631579","150.0",,,"508.5539999999983","635.6729999999964"
"Yoga","2018-11-25 10:02","2018-11-25 11:05","1:02:41",,"124.43257676902537","165.0",,,"501.07699999999727","651.8629999999955"
"Yoga","2018-11-21 18:03","2018-11-21 19:05","1:01:08",,"120.08","161.0",,,"482.80199999999763","629.8439999999958"
"Yoga","2018-11-19 16:31","2018-11-19 17:33","1:01:50",,"114.56054421768708","148.0",,,"495.27399999999886","616.581999999997"
"Yoga","2018-11-17 10:04","2018-11-17 10:58","0:53:34",,"124.22919937205651","161.0",,,"437.59599999999824","568.3189999999968"
"Yoga","2018-11-14 16:32","2018-11-14 17:31","0:58:27",,"115.73294629898403","149.0",,,"474.23899999999776","615.6059999999961"
"Yoga","2018-11-11 16:32","2018-11-11 17:33","1:00:46",,"122.48790896159318","151.0",,,"495.9099999999973","614.8829999999955"
"Yoga","2018-11-08 16:31","2018-11-08 17:35","1:04:29",,"118.27984084880637","153.0",,,"514.463999999998","667.7379999999961"
"Yoga","2018-11-07 16:31","2018-11-07 17:29","0:57:21",,"113.91265060240964","147.0",,,"446.87999999999806","585.1579999999965"
"Running","2018-10-31 11:10","2018-10-31 11:15","0:04:58","0.7855947939557373","124.11666666666666","148.0","0:06:20","9.46168925202508","62.152000000000044","94.55500000000002"
"Walking","2018-10-30 11:52","2018-10-30 12:02","0:10:09","0.8381796197236804",,,"0:12:07","4.948023488473088","61.957","111.62500000000004"
"Walking","2018-10-30 08:06","2018-10-30 08:49","0:43:46","3.995048726174129","86.52051282051282","98.0","0:10:57","5.475526362080458","272.00699999999983","381.9499999999999"
"Yoga","2018-10-26 18:05","2018-10-26 19:03","0:57:55",,"121.57507507507508","153.0",,,"458.99999999999767","597.639999999996"
"Yoga","2018-10-24 16:33","2018-10-24 17:33","0:59:44",,"117.49856733524355","150.0",,,"478.95199999999863","622.8749999999969"
"Yoga","2018-10-22 16:37","2018-10-22 17:49","1:11:59",,"114.270205066345","147.0",,,"574.7359999999986","739.7779999999964"
"Yoga","2018-10-19 16:30","2018-10-19 17:36","1:05:47",,"114.25324675324676","149.0",,,"517.3059999999986","671.1839999999967"
